Agency,Total spend (approx),DISTRICT_NAME,STATENAME,NATIONAL DATA ID,STREET_ADDRESS,CITY,COMPANY_DOMAIN,matched_name,use_microbit
"Oak Park Elementary School District No. 97, Illinois",NDA,OAK PARK ELEMENTARY SCHOOL DISTRICT NO. 97,ILLINOIS,NCES_District-1738550,200 E Main St,Tamaroa,http://tgs5.com,TAMAROA SCHOOL DIST 5,Yes
"Los Angeles Unified School District, California",NDA,LOS ANGELES UNIFIED SCHOOL DISTRICT,CALIFORNIA,NCES_District-0622710,333 South Beaudry Ave.,Los Angeles,http://www.lausd.org,LOS ANGELES UNIFIED,Yes
"Plano Independent School District, Texas",NDA,PLANO INDEPENDENT SCHOOL DISTRICT,TEXAS,NCES_District-4801410,2849 9TH AVE,PORT ARTHUR,http://www.bobhopeschool.org,BOB HOPE SCHOOL,Yes
"Lancaster-Lebanon Intermediate Unit 13, Pennsylvania",NDA,LANCASTER-LEBANON INTERMEDIATE UNIT 13,PENNSYLVANIA,NCES_District-4289110,One Intermediate Unit Drive,Coal Center,http://www.iu1.org,INTERMEDIATE UNIT 1,Yes
"Chesapeake Public Schools, Virginia",NDA,CHESAPEAKE PUBLIC SCHOOLS,VIRGINIA,NCES_District-5100810,312 Cedar Rd,Chesapeake,http://www.cpschools.com,CHESAPEAKE CITY PUBLIC SCHOOLS,Yes
"Davis School District, Utah",NDA,DAVIS SCHOOL DISTRICT,UTAH,NCES_District-4900210,P O BOX 588,FARMINGTON,http://vhs.davis.k12.ut.us/,DAVIS DISTRICT,Yes
"Akron City School District, Ohio",NDA,AKRON CITY SCHOOL DISTRICT,OHIO,NCES_District-3904348,10 N Main St,Akron,http://www.akronschools.com/,AKRON CITY,Yes
"Fort Zumwalt R-II School District, Missouri",NDA,FORT ZUMWALT R-II SCHOOL DISTRICT,MISSOURI,NCES_District-2908370,555 E. TERRA LANE,O'FALLON,http://www.fz.k12.mo.us,FORT ZUMWALT SCHOOL DISTRICT,Yes
"Beaverton School District, Oregon",NDA,BEAVERTON SCHOOL DISTRICT,OREGON,NCES_District-4101920,1260 NW Waterhouse Ave,Beaverton,http://beaverton.k12.or.us,BEAVERTON SD 48J,Yes
"Santa Fe Public School District, New Mexico",NDA,SANTA FE PUBLIC SCHOOL DISTRICT,NEW MEXICO,NCES_District-3502370,610 ALTA VISTA ST.,SANTA FE,http://www.sfps.info,SANTA FE,Yes
"Forest Area School District, Pennsylvania",NDA,FOREST AREA SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4208280,22318 Route 62 Box 16,Tionesta,http://www.forestareaschools.org/,FOREST AREA SD,Yes
"Socorro Independent School District, Texas",NDA,SOCORRO INDEPENDENT SCHOOL DISTRICT,TEXAS,NCES_District-4801410,2849 9TH AVE,PORT ARTHUR,http://www.bobhopeschool.org,BOB HOPE SCHOOL,Yes
"Long Beach Unified School District, California",NDA,LONG BEACH UNIFIED SCHOOL DISTRICT,CALIFORNIA,NCES_District-0622500,1515 Hughes Way,Long Beach,http://www.lbschools.net,LONG BEACH UNIFIED,Yes
"Duval County Public Schools, Florida",NDA,DUVAL COUNTY PUBLIC SCHOOLS,FLORIDA,NCES_District-1200480,1701 PRUDENTIAL DR,JACKSONVILLE,http://www.duvalschools.org,DUVAL,Yes
"Santa Ana Unified School District, California",NDA,SANTA ANA UNIFIED SCHOOL DISTRICT,CALIFORNIA,NCES_District-0635310,1601 East Chestnut Ave.,Santa Ana,http://www.sausd.k12.ca.us,SANTA ANA UNIFIED,Yes
"Moore Public Schools, Oklahoma",NDA,MOORE PUBLIC SCHOOLS,OKLAHOMA,NCES_District-4020250,1500 Southeast 4th Street,Moore,http://www.mooreschools.com,MOORE,Yes
"Park Hill School District, Missouri",NDA,PARK HILL SCHOOL DISTRICT,MISSOURI,NCES_District-2923550,7703 NW BARRY RD,KANSAS CITY,http://WWW.PARKHILL.K12.MO.US/,PARK HILL,Yes
"Kenosha Unified School District, Wisconsin",NDA,KENOSHA UNIFIED SCHOOL DISTRICT,WISCONSIN,NCES_District-5507320,Education Support Center,Kenosha,http://www.kusd.edu,KENOSHA SCHOOL DISTRICT,Yes
"Penn Manor School District, Pennsylvania",NDA,PENN MANOR SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4208550,800 Pine Street,Emmaus,http://www.eastpennsd.org,EAST PENN SD,Yes
"San Diego Unified School District, California",NDA,SAN DIEGO UNIFIED SCHOOL DISTRICT,CALIFORNIA,NCES_District-0634320,4100 Normal St.,San Diego,http://www.sandi.net,SAN DIEGO UNIFIED,Yes
"Milwaukee Public Schools, Wisconsin",NDA,MILWAUKEE PUBLIC SCHOOLS,WISCONSIN,NCES_District-5514490,1900 Polk St,Stevens Point,http://www.pointschools.net,STEVENS POINT AREA PUBLIC SCHOOL DISTRICT,Yes
"San Francisco Unified School District, California",NDA,SAN FRANCISCO UNIFIED SCHOOL DISTRICT,CALIFORNIA,NCES_District-0634410,555 Franklin St.,San Francisco,http://www.sfusd.edu,SAN FRANCISCO UNIFIED,Yes
"La Joya Independent School District, Texas",NDA,LA JOYA INDEPENDENT SCHOOL DISTRICT,TEXAS,NCES_District-4800275,11250 S WILCREST,HOUSTON,http://www.stepcharter.org/,STEP CHARTER SCHOOL,Yes
"Hollidaysburg Area School District, Pennsylvania",NDA,HOLLIDAYSBURG AREA SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4211940,405 Clark Street,Hollidaysburg,http://www.hasdtigers.com,HOLLIDAYSBURG AREA SD,Yes
"Tupelo Public School District, Mississippi",NDA,TUPELO PUBLIC SCHOOL DISTRICT,MISSISSIPPI,NCES_District-2804320,P O Box  557,Tupelo,http://www.tupeloschools.com/,TUPELO PUBLIC SCHOOL DIST,Yes
"Southwestern Illinois College, Illinois",NDA,SOUTHWESTERN ILLINOIS COLLEGE,ILLINOIS,NCES_District-1731500,201 E City Limits Rd,Brighton,http://www.piasabirds.net,SOUTHWESTERN CUSD 9,Yes
"St. Charles Parish Public Schools, Louisiana",NDA,ST. CHARLES PARISH PUBLIC SCHOOLS,LOUISIANA,NCES_District-2201440,13855 River Road,Luling,,ST. CHARLES PARISH,Yes
"Cobb County School District, Georgia",NDA,COBB COUNTY SCHOOL DISTRICT,GEORGIA,NCES_District-1301290,514 Glover Street,Marietta,,COBB COUNTY,Yes
"Orange County Public Schools, Florida",NDA,ORANGE COUNTY PUBLIC SCHOOLS,FLORIDA,NCES_District-1201440,445 W AMELIA ST,ORLANDO,http://www.ocps.net,ORANGE,Yes
"Leander Independent School District, Texas",NDA,LEANDER INDEPENDENT SCHOOL DISTRICT,TEXAS,NCES_District-4801410,2849 9TH AVE,PORT ARTHUR,http://www.bobhopeschool.org,BOB HOPE SCHOOL,Yes
"Columbus City School District, Ohio",NDA,COLUMBUS CITY SCHOOL DISTRICT,OHIO,NCES_District-3904380,270 E State St,Columbus,http://www.ccsoh.us/,COLUMBUS CITY SCHOOLS DISTRICT,Yes
"Miami-Dade County Public Schools, Florida",NDA,MIAMI-DADE COUNTY PUBLIC SCHOOLS,FLORIDA,NCES_District-1200390,1450 NE 2ND AVE # 912,MIAMI,http://www.dadeschools.net,MIAMI-DADE,Yes
"Bakersfield City School District, California",NDA,BAKERSFIELD CITY SCHOOL DISTRICT,CALIFORNIA,NCES_District-0603630,1300 Baker St.,Bakersfield,http://www.bcsd.com,BAKERSFIELD CITY,Yes
"Southeastern Technical College, Georgia",NDA,SOUTHEASTERN TECHNICAL COLLEGE,GEORGIA,NCES_District-1301350,P. O. Drawer 1290,Douglas,,COFFEE COUNTY,Yes
"Pflugerville Independent School District, Texas",NDA,PFLUGERVILLE INDEPENDENT SCHOOL DISTRICT,TEXAS,NCES_District-4801432,P O BOX 12757,AUSTIN,http://www.tjjd.texas.gov/index.php/education-services,LONE STAR SCHOOL DISTRICT,Yes
"Career Technical Education, California",NDA,CAREER TECHNICAL EDUCATION,CALIFORNIA,NCES_District-0601424,PO Drawer G,Independence,,INYO COUNTY CAREER TECHNICAL EDUCATION,Yes
"Community Consolidated School District 181, Illinois",NDA,COMMUNITY CONSOLIDATED SCHOOL DISTRICT 181,ILLINOIS,NCES_District-1725770,101 W Madison St,Metamora,http://www.mths.us,COUNTY OF WOODFORD SCHOOL,Yes
"Academy of Math and Science, Arizona",NDA,ACADEMY OF MATH AND SCIENCE,ARIZONA,NCES_District-0400108,5201 N 7TH ST,PHOENIX,http://www.humsci.org,HUMANITIES AND SCIENCES ACADEMY OF THE UNITED STAT (4337),Yes
"Turlock Unified School District, California",NDA,TURLOCK UNIFIED SCHOOL DISTRICT,CALIFORNIA,NCES_District-0600158,PO Box 819013,Turlock,http://www.turlock.k12.ca.us,TURLOCK UNIFIED,Yes
"Toms River Regional Schools, New Jersey",NDA,TOMS RIVER REGIONAL SCHOOLS,NEW JERSEY,NCES_District-3416230,1144 Hooper Avenue,Toms River,http://www.trschools.com,TOMS RIVER REGIONAL SCHOOL DISTRICT,Yes
"Cleveland Metropolitan School District, Ohio",NDA,CLEVELAND METROPOLITAN SCHOOL DISTRICT,OHIO,NCES_District-3900001,500 Morse Rd,Columbus,,OHIO SCHOOL FOR THE DEAF,Yes
"East Moline School District No. 37, Illinois",NDA,EAST MOLINE SCHOOL DISTRICT NO. 37,ILLINOIS,NCES_District-1738550,200 E Main St,Tamaroa,http://tgs5.com,TAMAROA SCHOOL DIST 5,Yes
"Elyria City Schools School District, Ohio",NDA,ELYRIA CITY SCHOOLS SCHOOL DISTRICT,OHIO,NCES_District-3904394,42101 Griswold Rd,Elyria,http://www.elyriaschools.org/,ELYRIA CITY SCHOOLS,Yes
"San Marcos Unified School District, California",NDA,SAN MARCOS UNIFIED SCHOOL DISTRICT,CALIFORNIA,NCES_District-0634880,255 Pico Ave. Ste. 250,San Marcos,http://www.smusd.org,SAN MARCOS UNIFIED,Yes
"Volusia County Schools, Florida",NDA,VOLUSIA COUNTY SCHOOLS,FLORIDA,NCES_District-1201920,PO BOX 2118,DELAND,http://MyVolusiaSchools.org,VOLUSIA,Yes
"Lee County Public Schools, Florida",NDA,LEE COUNTY PUBLIC SCHOOLS,FLORIDA,NCES_District-1202017,11363 SAN JOSE BLVD,JACKSONVILLE,http://www.sanjoseschools.org,SAN JOSE SCHOOLS,Yes
"Providence School District, Rhode Island",NDA,PROVIDENCE SCHOOL DISTRICT,RHODE ISLAND,NCES_District-4400900,797 Westminster Street,Providence,,PROVIDENCE,Yes
"City of Taunton, Massachusetts",NDA,CITY OF TAUNTON,MASSACHUSETTS,NCES_District-2511520,215 Harris Street,Taunton,http://www.tauntonschools.org,TAUNTON,Yes
"Northside Independent School District, Texas",NDA,NORTHSIDE INDEPENDENT SCHOOL DISTRICT,TEXAS,NCES_District-4800291,P O BOX 40,HUNTSVILLE,http://www.wsdtx.org,WINDHAM SCHOOL DISTRICT,Yes
"Aspire Public Schools, California",NDA,ASPIRE PUBLIC SCHOOLS,CALIFORNIA,NCES_District-0601552,1001 22nd Ave. Ste. 100,Oakland,http://www.aspirepublicschools.org,ASPIRE GOLDEN STATE COLLEGE PREPARATORY ACADEMY DISTRICT,Yes
"Mifflin County School District, Pennsylvania",NDA,MIFFLIN COUNTY SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4215290,201 Eighth St - Highland Park,Lewistown,http://www.mcsdk12.org,MIFFLIN COUNTY SD,Yes
"Lower Dauphin School District, Pennsylvania",NDA,LOWER DAUPHIN SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4214100,291 E Main St,Hummelstown,http://www.ldsd.org,LOWER DAUPHIN SD,Yes
"Pocono Mountain School District, Pennsylvania",NDA,POCONO MOUNTAIN SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4219500,PO Box 200,Swiftwater,http://www.pmsd.org/,POCONO MOUNTAIN SD,Yes
"Ft. Worth ISD, Texas",NDA,FT. WORTH ISD,TEXAS,NCES_District-4819700,7060 CAMP BOWIE BLVD,FORT WORTH,http://www.fwisd.org,FORT WORTH ISD,Yes
"Salinas Union High School District, California",NDA,SALINAS UNION HIGH SCHOOL DISTRICT,CALIFORNIA,NCES_District-0633980,431 West Alisal St.,Salinas,http://www.salinasuhsd.org/,SALINAS UNION HIGH,Yes
"City of Quincy, Massachusetts",NDA,CITY OF QUINCY,MASSACHUSETTS,NCES_District-2509870,34 Coddington Street,Quincy,http://QuincyPublicSchools.com,QUINCY,Yes
"Quincy Public Schools, Massachusetts",NDA,QUINCY PUBLIC SCHOOLS,MASSACHUSETTS,NCES_District-2509870,34 Coddington Street,Quincy,http://QuincyPublicSchools.com,QUINCY,Yes
"UT Southwestern Medical Center, Texas",NDA,UT SOUTHWESTERN MEDICAL CENTER,TEXAS,NCES_District-4813320,P O DRAWER 1689,CENTER,http://www.centerisd.org,CENTER ISD,Yes
"West Contra Costa Unified School District, California",NDA,WEST CONTRA COSTA UNIFIED SCHOOL DISTRICT,CALIFORNIA,NCES_District-0632550,1108 Bissell Ave.,Richmond,http://www.wccusd.net,WEST CONTRA COSTA UNIFIED,Yes
"Department of the Navy - GSA, District of Columbia",NDA,DEPARTMENT OF THE NAVY - GSA,DISTRICT OF COLUMBIA,NCES_District-1100058,405 HOWARD ROAD PLACE NW,Washington,http://www.hu-ms2.org,HOWARD UNIVERSITY MIDDLE SCHOOL OF MATH AND SCIENCE PCS,Yes
"Schaumburg Community Consolidated School District No. 54, Illinois",NDA,SCHAUMBURG COMMUNITY CONSOLIDATED SCHOOL DISTRICT NO. 54,ILLINOIS,NCES_District-1726610,54 White Oak Dr,Morris,http://dist54.mornet.org,MORRIS SD 54,Yes
"Belvidere Community Unit School District No. 100, Illinois",NDA,BELVIDERE COMMUNITY UNIT SCHOOL DISTRICT NO. 100,ILLINOIS,NCES_District-1733930,9624 256th St N,Port Byron,http://www.riverdaleschools.org,RIVERDALE CUSD 100,Yes
"Osseo Independent School District No. 279, Minnesota",NDA,OSSEO INDEPENDENT SCHOOL DISTRICT NO. 279,MINNESOTA,NCES_District-2700378,6717 85TH AVE NORTH,BROOKLYN PARK,http://nashashkolamn.org/,NASHA SHKOLA CHARTER SCHOOL,Yes
"Monroe Public Schools, Washington",NDA,MONROE PUBLIC SCHOOLS,WASHINGTON,NCES_District-5300350,718 W Riverside,Spokane,http://www.lumenhighschool.org/,LUMEN PUBLIC SCHOOL,Yes
"Warren County School District, Pennsylvania",NDA,WARREN COUNTY SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4224820,6820 Market Street,Russell,http://www.wcsdpa.org,WARREN COUNTY SD,Yes
"Alhambra Elementary School District, Arizona",NDA,ALHAMBRA ELEMENTARY SCHOOL DISTRICT,ARIZONA,NCES_District-0400600,4510 N 37TH AVE,PHOENIX,http://www.alhambraesd.org/,ALHAMBRA ELEMENTARY DISTRICT (4280),Yes
"Putnam County School District, Florida",NDA,PUTNAM COUNTY SCHOOL DISTRICT,FLORIDA,NCES_District-1201620,200 REID ST,PALATKA,http://www.putnamschools.org/,PUTNAM,Yes
"Missoula County Public Schools, Montana",NDA,MISSOULA COUNTY PUBLIC SCHOOLS,MONTANA,NCES_District-3000052,438 West Spruce,Missoula,http://www.co.missoula.mt.us/supschools,MISSOULA,Yes
"Richmond County School System, Georgia",NDA,RICHMOND COUNTY SCHOOL SYSTEM,GEORGIA,NCES_District-1304380,864 Broad Street,Augusta,,RICHMOND COUNTY,Yes
"Hillsborough City School District, California",NDA,HILLSBOROUGH CITY SCHOOL DISTRICT,CALIFORNIA,NCES_District-0601851,33272 Valle Rd.,San Juan Capistrano,http://www.connectionsacademy.com/calca,CALIFORNIA CONNECTIONS ACADEMY SOUTHERN CALIFORNIA DISTRICT,Yes
"Clayton County Public Schools, Georgia",NDA,CLAYTON COUNTY PUBLIC SCHOOLS,GEORGIA,NCES_District-1301230,1058 Fifth Avenue,Jonesboro,http://www.clayton.k12.ga.us,CLAYTON COUNTY,Yes
"County of Los Angeles, California",NDA,COUNTY OF LOS ANGELES,CALIFORNIA,NCES_District-0600110,9300 East Imperial Way,Downey,,LOS ANGELES COUNTY ROP,Yes
"Norman Public Schools, Oklahoma",NDA,NORMAN PUBLIC SCHOOLS,OKLAHOMA,NCES_District-4021720,131 South Flood Avenue,Norman,http://www.normanpublicschools.org,NORMAN,Yes
"Nebo School District, Utah",NDA,NEBO SCHOOL DISTRICT,UTAH,NCES_District-4900166,1167 South 1100 East,SALT LAKE CITY,http://utahinternational.org,UTAH INTERNATIONAL CHARTER SCHOOL,Yes
"Seneca Highlands Intermediate Unit 9, Pennsylvania",NDA,SENECA HIGHLANDS INTERMEDIATE UNIT 9,PENNSYLVANIA,NCES_District-4224970,474 Grove St,Honesdale,http://www.whsdk12.com/,WAYNE HIGHLANDS SD,Yes
"Portland State University, Oregon",NDA,PORTLAND STATE UNIVERSITY,OREGON,NCES_District-4110040,PO Box 3107,Portland,http://www.pps.net,PORTLAND SD 1J,Yes
"Butler Technology Career Development Schools, Ohio",NDA,BUTLER TECHNOLOGY CAREER DEVELOPMENT SCHOOLS,OHIO,NCES_District-3905088,3603 Hamilton Middletown Rd,Hamilton,http://www.butlertech.org,BUTLER TECHNOLOGY & CAREER DEVELOPMENT SCHOOLS,Yes
"Suwannee County Schools, Florida",NDA,SUWANNEE COUNTY SCHOOLS,FLORIDA,NCES_District-1201830,1729 WALKER AVE SW,LIVE OAK,http://www.suwannee.k12.fl.us,SUWANNEE,Yes
"Keller Independent School District, Texas",NDA,KELLER INDEPENDENT SCHOOL DISTRICT,TEXAS,NCES_District-4800055,132 E OVILLA RD STE A,RED OAK,http://www.lifeschools.net,LIFE SCHOOL,Yes
"Minnesota Department of Health, Minnesota",NDA,MINNESOTA DEPARTMENT OF HEALTH,MINNESOTA,NCES_District-2700272,1450 ENERGY PARK DRIVE STE 200,SAINT PAUL,,MINNESOTA DEPARTMENT OF CORRECTIONS,Yes
"Tucson Unified School District, Arizona",NDA,TUCSON UNIFIED SCHOOL DISTRICT,ARIZONA,NCES_District-0405500,PO BOX 668,HOLBROOK,,NAVAJO COUNTY ACCOMMODATION DISTRICT #99 (4386),Yes
"Perris Union High School District, California",NDA,PERRIS UNION HIGH SCHOOL DISTRICT,CALIFORNIA,NCES_District-0630210,155 East Fourth St.,Perris,http://www.puhsd.org,PERRIS UNION HIGH,Yes
"Virginia Polytechnic Institute And State University, Virginia",NDA,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,VIRGINIA,NCES_District-5100052,PO Box 4030,Petersburg,,SOUTHSIDE VIRGINIA TRAINING CENTER,Yes
"Big Lake Independent School District No. 727, Minnesota",NDA,BIG LAKE INDEPENDENT SCHOOL DISTRICT NO. 727,MINNESOTA,NCES_District-2700349,7255 FLYING CLOUD DRIVE,EDEN PRAIRIE,http://www.pimartshs.org/,PIM ARTS HIGH SCHOOL,Yes
"Texas Tech University, Texas",NDA,TEXAS TECH UNIVERSITY,TEXAS,NCES_District-4801480,P O BOX 42191,LUBBOCK,http://www.k12.ttu.edu,TEXAS TECH UNIVERSITY K-12,Yes
"UCI Medical Center, California",NDA,UCI MEDICAL CENTER,CALIFORNIA,NCES_District-0601887,1900 Third St.,Alameda,http://www.clcschools.org,NEA COMMUNITY LEARNING CENTER DISTRICT,Yes
"Ouachita Parish School System, Louisiana",NDA,OUACHITA PARISH SCHOOL SYSTEM,LOUISIANA,NCES_District-2201200,P.O. Box 2957,West Monroe,,OUACHITA PARISH,Yes
"Parish of Ouachita, Louisiana",NDA,PARISH OF OUACHITA,LOUISIANA,NCES_District-2201200,P.O. Box 2957,West Monroe,,OUACHITA PARISH,Yes
"Northwest Tri-County Intermediate Unit 5, Pennsylvania",NDA,NORTHWEST TRI-COUNTY INTERMEDIATE UNIT 5,PENNSYLVANIA,NCES_District-4217130,10439 Route 36,Tionesta,http://www.northclarion.org,NORTH CLARION COUNTY SD,Yes
"North Hills School District, Pennsylvania",NDA,NORTH HILLS SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4217220,135 6th Ave,Pittsburgh,http://www.nhsd.net,NORTH HILLS SD,Yes
"School District of Grand Forks, North Dakota",NDA,SCHOOL DISTRICT OF GRAND FORKS,NORTH DAKOTA,NCES_District-3800051,PO Box 6000,Grand Forks,,GRAND FORKS AFB 140,Yes
"City of Pawtucket, Rhode Island",NDA,CITY OF PAWTUCKET,RHODE ISLAND,NCES_District-4400840,286 Main Street,Pawtucket,,PAWTUCKET,Yes
"Redwood City School District, California",NDA,REDWOOD CITY SCHOOL DISTRICT,CALIFORNIA,NCES_District-0601735,2709 Media Center Dr.,Los Angeles,http://calcreative.org,CALIFORNIA CREATIVE LEARNING ACADEMY MS DISTRICT,Yes
"Virginia Beach Public Schools, Virginia",NDA,VIRGINIA BEACH PUBLIC SCHOOLS,VIRGINIA,NCES_District-5103840,PO Box 6038,Virginia Beach,http://www.vbschools.com,VIRGINIA BEACH CITY PUBLIC SCHOOLS,Yes
"Lyon County School District, Nevada",NDA,LYON COUNTY SCHOOL DISTRICT,NEVADA,NCES_District-3200300,25 E. Goldfield Ave,Yerington,http://www.lyoncsd.org,LYON,Yes
"Philadelphia School District, Pennsylvania",NDA,PHILADELPHIA SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4280120,948 Ben Franklin Highway,Ebensburg,http://www.ap.tec.pa.us,ADMIRAL PEARY AREA VOCATIONAL-TECHNICAL SCHOOL,Yes
"Volusia County Public Transit System, Florida",NDA,VOLUSIA COUNTY PUBLIC TRANSIT SYSTEM,FLORIDA,NCES_District-1201920,PO BOX 2118,DELAND,http://MyVolusiaSchools.org,VOLUSIA,Yes
"Ysleta Independent School District, Texas",NDA,YSLETA INDEPENDENT SCHOOL DISTRICT,TEXAS,NCES_District-4800213,P O BOX 610,CARTHAGE,http://www.paolaschools.net,PANOLA CHARTER SCHOOL,Yes
"Eastern York School District, Pennsylvania",NDA,EASTERN YORK SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4208790,PO Box 150,Wrightsville,http://www.easternyork.com,EASTERN YORK SD,Yes
"Minnesota Department of Administration, Minnesota",NDA,MINNESOTA DEPARTMENT OF ADMINISTRATION,MINNESOTA,NCES_District-2700129,615 OLOF HANSON DR,FARIBAULT,http://www.msa.state.mn.us/,MINNESOTA STATE ACADEMIES,Yes
"Austin Public Schools, Minnesota",NDA,AUSTIN PUBLIC SCHOOLS,MINNESOTA,NCES_District-2717880,401 CENTRAL AVE S,LANCASTER,http://www.lancaster.k12.mn.us,LANCASTER PUBLIC SCHOOL DISTRICT,Yes
"San Bernardino City Unified School District, California",NDA,SAN BERNARDINO CITY UNIFIED SCHOOL DISTRICT,CALIFORNIA,NCES_District-0634170,777 North F St.,San Bernardino,http://www.sbcusd.com,SAN BERNARDINO CITY UNIFIED,Yes
"Department of Veterans Affairs - GSA, District of Columbia",NDA,DEPARTMENT OF VETERANS AFFAIRS - GSA,DISTRICT OF COLUMBIA,NCES_District-1100058,405 HOWARD ROAD PLACE NW,Washington,http://www.hu-ms2.org,HOWARD UNIVERSITY MIDDLE SCHOOL OF MATH AND SCIENCE PCS,Yes
"Folsom Cordova Unified School District, California",NDA,FOLSOM CORDOVA UNIFIED SCHOOL DISTRICT,CALIFORNIA,NCES_District-0613890,1965 Birkmont Dr.,Rancho Cordova,http://www.fcusd.org,FOLSOM-CORDOVA UNIFIED,Yes
"Sheldon Independent School District, Texas",NDA,SHELDON INDEPENDENT SCHOOL DISTRICT,TEXAS,NCES_District-4800055,132 E OVILLA RD STE A,RED OAK,http://www.lifeschools.net,LIFE SCHOOL,Yes
"Peoria Unified School District, Arizona",NDA,PEORIA UNIFIED SCHOOL DISTRICT,ARIZONA,NCES_District-0406250,PO BOX 39,PEORIA,http://www.peoriaunified.org,PEORIA UNIFIED SCHOOL DISTRICT (4237),Yes
"Central Susquehanna Intermediate Unit 16, Pennsylvania",NDA,CENTRAL SUSQUEHANNA INTERMEDIATE UNIT 16,PENNSYLVANIA,NCES_District-4289110,One Intermediate Unit Drive,Coal Center,http://www.iu1.org,INTERMEDIATE UNIT 1,Yes
"Department of the Air Force - GSA, District of Columbia",NDA,DEPARTMENT OF THE AIR FORCE - GSA,DISTRICT OF COLUMBIA,NCES_District-1100108,3309 16TH STREET NW,Washington,http://www.thefamilyplacedc.org,THE FAMILY PLACE PCS,Yes
"Mason City School District, Ohio",NDA,MASON CITY SCHOOL DISTRICT,OHIO,NCES_District-3905045,211 N East St,Mason,http://www.masonohioschools.com,MASON CITY,Yes
"Newport News Public Schools, Virginia",NDA,NEWPORT NEWS PUBLIC SCHOOLS,VIRGINIA,NCES_District-5102640,12465 Warwick Blvd,Newport News,http://www.sbo.nn.k12.va.us/,NEWPORT NEWS CITY PUBLIC SCHOOLS,Yes
"Laguna Beach Unified School District, California",NDA,LAGUNA BEACH UNIFIED SCHOOL DISTRICT,CALIFORNIA,NCES_District-0620370,550 Blumont St.,Laguna Beach,http://www.lbusd.org,LAGUNA BEACH UNIFIED,Yes
