Agency,,Total spend (approx),Number of purchases
"Clarkston School District, Washington",,NDA,NDA
"Broadalbin-Perth Central School District, New York",,NDA,NDA
"Adams 12 Five Star Schools, Colorado",,NDA,NDA
"Lower Moreland Township School District, Pennsylvania",,NDA,NDA
"Wake County Public School System, North Carolina",,NDA,NDA
"City of Revere, Massachusetts",,NDA,NDA
"Jefferson County Public Schools, Kentucky",,NDA,NDA
"Spring Cove School District, Pennsylvania",,NDA,NDA
"Rockford School District No. 205, Illinois",,NDA,NDA
"Allegheny Valley School District, Pennsylvania",,NDA,NDA
"Knox County, Tennessee",,NDA,NDA
"Carrollton-Farmers Branch ISD, Texas",,NDA,NDA
"Deming Public School District, New Mexico",,NDA,NDA
"Norwich City School District, New York",,NDA,NDA
"Warren County Career Center, Ohio",,NDA,NDA
"Moreland School District, California",,NDA,NDA
"Lowndes County Schools, Georgia",,NDA,NDA
"Taylor Independent School District, Texas",,NDA,NDA
"Carle Place Public Schools, New York",,NDA,NDA
"Tuscarora Intermediate Unit 11, Pennsylvania",,NDA,NDA
"Indianapolis Public Schools, Indiana",,NDA,NDA
"Calexico Unified School District, California",,NDA,NDA
"Texarkana School District, Arkansas",,NDA,NDA
"Avon Grove School District, Pennsylvania",,NDA,NDA
"Corpus Christi Independent School District, Texas",,NDA,NDA
"KIPP Texas Public Schools, Texas",,NDA,NDA
"Beaver Dam Unified School District, Wisconsin",,NDA,NDA
"Blue Springs R-IV School District, Missouri",,NDA,NDA
"Red Bluff Joint Union High School District, California",,NDA,NDA
"Newman-Crows Landing Unified School District, California",,NDA,NDA
"Douglas County School System, Georgia",,NDA,NDA
"Great Neck Public Schools, New York",,NDA,NDA
"Pittsburgh Public Schools, Pennsylvania",,NDA,NDA
"Greene County Career Center, Ohio",,NDA,NDA
"Tevis Junior High School, California",,NDA,NDA
"Pasadena ISD, Texas",,NDA,NDA
"Sequim School District, Washington",,NDA,NDA
"Hillsboro School District, Oregon",,NDA,NDA
"Caldwell County Schools, North Carolina",,NDA,NDA
"Southwestern Jefferson County Schools, Indiana",,NDA,NDA
"Maury County Public Schools, Tennessee",,NDA,NDA
"Belmont School District, Massachusetts",,NDA,NDA
"Town of Weymouth, Massachusetts",,NDA,NDA
"Lexington-Richland School District Five, South Carolina",,NDA,NDA
"Lamar Bruni Vergara Middle School, Texas",,NDA,NDA
"Northbrook-Glenview School District No. 30, Illinois",,NDA,NDA
"Holyoke Public Schools, Massachusetts",,NDA,NDA
"Fairbanks North Star Borough School District, Alaska",,NDA,NDA
"Barbers Hill Independent School District, Texas",,NDA,NDA
"San Francisco Municipal Transportation Agency, California",,NDA,NDA
"Las Cruces Public Schools, New Mexico",,NDA,NDA
"Rogers Public Schools, Arkansas",,NDA,NDA
"Hacienda La Puente Unified School District, California",,NDA,NDA
"Springfield Public Schools, Missouri",,NDA,NDA
"City of Malden, Massachusetts",,NDA,NDA
"Williamsburg-James City County Public Schools, Virginia",,NDA,NDA
"South Fayette Township School District, Pennsylvania",,NDA,NDA
"Toledo City School District, Ohio",,NDA,NDA
"Quaker Valley School District, Pennsylvania",,NDA,NDA
"Laurel Ridge Community College, Virginia",,NDA,NDA
"Issaquah School District, Washington",,NDA,NDA
"City of Stamford, Connecticut",,NDA,NDA
"EHOVE Career Center, Ohio",,NDA,NDA
"Lakota Local School District, Ohio",,NDA,NDA
"Brandywine Heights Area School District, Pennsylvania",,NDA,NDA
"Parsippany-Troy Hills School District, New Jersey",,NDA,NDA
"Los Obispos Middle School, Texas",,NDA,NDA
"Katy Independent School District, Texas",,NDA,NDA
"Bristol-Warren Regional School District, Rhode Island",,NDA,NDA
"Department of Homeland Security - GSA, District of Columbia",,NDA,NDA
"Iredell-Statesville Schools, North Carolina",,NDA,NDA
"Alamogordo Public Schools, New Mexico",,NDA,NDA
"Judson Independent School District, Texas",,NDA,NDA
"Kent School District, Washington",,NDA,NDA
"Weslaco ISD, Texas",,NDA,NDA
"James Madison University, Virginia",,NDA,NDA
"Briarcliff Manor Union Free School District, New York",,NDA,NDA
"Easton Area School District, Pennsylvania",,NDA,NDA
"Sarasota County Schools, Florida",,NDA,NDA
"Educational Service District 171 - North Central, Washington",,NDA,NDA
"North St. Paul-Maplewood-Oakdale School District No. 622, Minnesota",,NDA,NDA
"Royse City Independent School District, Texas",,NDA,NDA
"Central Consolidated School District #22, New Mexico",,NDA,NDA
"Alexandria Community School Corporation, Indiana",,NDA,NDA
"City of St. Charles School District, Missouri",,NDA,NDA
"University of Florida, Florida",,NDA,NDA
"McAllen Independent School District (ISD), Texas",,NDA,NDA
"Hyde Park Central School District, New York",,NDA,NDA
"Nordonia Hills City School District, Ohio",,NDA,NDA
"Ricardo Molina Middle School, Texas",,NDA,NDA
"Washington School Information Processing Cooperative (WSIPC), Washington",,NDA,NDA
"New York City School District #31, New York",,NDA,NDA
"Marshall Independent School District, Texas",,NDA,NDA
"North Rockland Central School District, New York",,NDA,NDA
"Ritenour School District, Missouri",,NDA,NDA
"Laurel County Public Schools, Kentucky",,NDA,NDA
"Bethlehem Center School District, Pennsylvania",,NDA,NDA
"Clinton Community School District, Iowa",,NDA,NDA
"Ligonier Valley School District, Pennsylvania",,NDA,NDA
"Wentzville R-IV School District, Missouri",,NDA,NDA
"Green Bay Area Public School District, Wisconsin",,NDA,NDA
"Montrose Community School, Michigan",,NDA,NDA
"Dakota State University, South Dakota",,NDA,NDA
"Douglas County School District, Nevada",,NDA,NDA
"Scarsdale Public Schools, New York",,NDA,NDA
"Fountain-Fort Carson School District 8, Colorado",,NDA,NDA
"Council Rock School District, Pennsylvania",,NDA,NDA
"Bentonville School District No. 6, Arkansas",,NDA,NDA
"Lake Stevens Sr High School, Washington",,NDA,NDA
"Vancouver School District, Washington",,NDA,NDA
"American River College, California",,NDA,NDA
"County of San Bernardino, California",,NDA,NDA
"General Services Administration: Federal Acquisition Service, District of Columbia",,NDA,NDA
"Allegheny Intermediate Unit 3, Pennsylvania",,NDA,NDA
"City of Boston, Massachusetts",,NDA,NDA
"School of Science and Technology Charter Schools, Texas",,NDA,NDA
"Hillsdale Local School District, Ohio",,NDA,NDA
"Canton City School District, Ohio",,NDA,NDA
"Boston Public Schools, Massachusetts",,NDA,NDA
"Randolph Public Schools, Massachusetts",,NDA,NDA
"Town of Randolph, Massachusetts",,NDA,NDA
"Mamaroneck Union Free School District, New York",,NDA,NDA
"Oakland Unified School District, California",,NDA,NDA
"Binghamton City School District, New York",,NDA,NDA
"Austin ISD, Texas",,NDA,NDA
"Andover Public Schools, Kansas",,NDA,NDA
"University of Maryland at College Park, Maryland",,NDA,NDA
"Los Alamos Public School District, New Mexico",,NDA,NDA
"Albany City School District, New York",,NDA,NDA
"Chesterfield County, Virginia",,NDA,NDA
"Lowell Public Schools, Massachusetts",,NDA,NDA
"University of Texas at Tyler, Texas",,NDA,NDA
"Sweetwater Union High School District, California",,NDA,NDA
"North Babylon Union Free School District, New York",,NDA,NDA
"Ephrata Area School District, Pennsylvania",,NDA,NDA
"Fabens Independent School District, Texas",,NDA,NDA
"Lenoir County Schools, North Carolina",,NDA,NDA
"South Eastern School District, Pennsylvania",,NDA,NDA
"Kasson-Mantorville Schools District No. 204, Minnesota",,NDA,NDA
"Calvert County Public Schools, Maryland",,NDA,NDA
"Donna Independent School District, Texas",,NDA,NDA
"Erie 1 BOCES, New York",,NDA,NDA
"Radford University, Virginia",,NDA,NDA
"Clarke County School District, Virginia",,NDA,NDA
"Surry County Schools, North Carolina",,NDA,NDA
"Quincy High School, Washington",,NDA,NDA
"Ringgold School District, Pennsylvania",,NDA,NDA
"Mercer County Schools, West Virginia",,NDA,NDA
"Hudson Public Schools, Massachusetts",,NDA,NDA
"Riverside School District, Washington",,NDA,NDA
"Pembroke Public Schools, Massachusetts",,NDA,NDA
"Malden Public Schools, Massachusetts",,NDA,NDA
"Eddyville-Blakesburg School District, Iowa",,NDA,NDA
"Centennial School District, Pennsylvania",,NDA,NDA
"Foothill College, California",,NDA,NDA
"Northwest R-I School District, Missouri",,NDA,NDA
"Penncrest School District, Pennsylvania",,NDA,NDA
"Lovejoy ISD, Texas",,NDA,NDA
"Ayer Shirley Regional School District, Massachusetts",,NDA,NDA
"Moses Lake School District #161, Washington",,NDA,NDA
"San Bernardino Community College District, California",,NDA,NDA
"Panama-Buena Vista Union School District, California",,NDA,NDA
"East Peoria School District No. 86, Illinois",,NDA,NDA
"Pittsford Central School District, New York",,NDA,NDA
"Department of Defense: Office of the Secretary of Defense - GSA, District of Columbia",,NDA,NDA
"Thompson Junior High School, California",,NDA,NDA
"Syracuse City School District, New York",,NDA,NDA
"Bronxville Union Free School District, New York",,NDA,NDA
"Aspire Centennial College Preparatory Academy, California",,NDA,NDA
"Pearl Public School District, Mississippi",,NDA,NDA
"Worthington City School District, Ohio",,NDA,NDA
"Moss Point School District, Mississippi",,NDA,NDA
"Riverside Community College Dist, California",,NDA,NDA
"Queen Anne's County Public Schools, Maryland",,NDA,NDA
"Appalachia Intermediate Unit 8, Pennsylvania",,NDA,NDA
"Hoboken City School District, New Jersey",,NDA,NDA
"University of California Santa Cruz, California",,NDA,NDA
"Pioneer Middle School Wenatchee, Washington",,NDA,NDA
"Georgia Regents University(Augusta University), Georgia",,NDA,NDA
"Augusta University, Georgia",,NDA,NDA
"Department of Education, Virginia",,NDA,NDA
"James Madison Middle School, California",,NDA,NDA
"Pajaro Valley Unified School District, California",,NDA,NDA
"Foothills Middle School Wenatchee, Washington",,NDA,NDA
"John McCandless STEM Charter School, California",,NDA,NDA
"Osceola County School District, Florida",,NDA,NDA
"Lufkin ISD, Texas",,NDA,NDA
"Anchorage School District, Alaska",,NDA,NDA
"University of North Carolina-Charlotte, North Carolina",,NDA,NDA
"Department of the Interior - GSA, District of Columbia",,NDA,NDA
"Danville Public Schools, Virginia",,NDA,NDA
"Santee School District, California",,NDA,NDA
"South San Antonio Independent School District, Texas",,NDA,NDA
"Rockdale County Board Of Education, Georgia",,NDA,NDA
"Rockdale County Public Schools, Georgia",,NDA,NDA
"Redmond School District, Oregon",,NDA,NDA
"Cumberland County Schools, North Carolina",,NDA,NDA
"Topeka Public Schools USD 501, Kansas",,NDA,NDA
"Old Donation School, Virginia",,NDA,NDA
"Garden City Union Free School District, New York",,NDA,NDA
"Mt. Vernon School District No. 320, Washington",,NDA,NDA
"Penn Hills School District, Pennsylvania",,NDA,NDA
"City of Fall River, Massachusetts",,NDA,NDA
"Murrieta Valley Unified School District, California",,NDA,NDA
"Ellwood Area School District, Pennsylvania",,NDA,NDA
"Lenoir City Schools, Tennessee",,NDA,NDA
"Arkansas Tech University, Arkansas",,NDA,NDA
"Jennings School District, Missouri",,NDA,NDA
"University of California-San Francisco, California",,NDA,NDA
"Oklahoma City Public Schools, Oklahoma",,NDA,NDA
"Trautmann Middle School, Texas",,NDA,NDA
"Hillsborough County Public School Board, Florida",,NDA,NDA
"Beaumont Unified School District, California",,NDA,NDA
"New York City School District #25, New York",,NDA,NDA
"Kennesaw State University, Georgia",,NDA,NDA
"Lansing School District, Michigan",,NDA,NDA
"Foster-Glocester Regional Schools, Rhode Island",,NDA,NDA
"Marquette-Alger Regional Educational Service Agency, Michigan",,NDA,NDA
"Ohio University, Ohio",,NDA,NDA
"East Stroudsburg Area School District, Pennsylvania",,NDA,NDA
"Southwestern Central School District, New York",,NDA,NDA
"Northern Michigan University, Michigan",,NDA,NDA
"Wayne County Schools, Kentucky",,NDA,NDA
"Springville-Griffith Institute Central School District, New York",,NDA,NDA
"Broken Bow Public Schools, Oklahoma",,NDA,NDA
"Shoreline School District, Washington",,NDA,NDA
"Laredo Independent School District, Texas",,NDA,NDA
"Valparaiso Community Schools, Indiana",,NDA,NDA
"Fitchburg Public Schools, Massachusetts",,NDA,NDA
"North Shore Central School District, New York",,NDA,NDA
"Quabbin Regional School District, Massachusetts",,NDA,NDA
"Henderson County Public Schools, North Carolina",,NDA,NDA
"Garrett County Public Schools, Maryland",,NDA,NDA
"Ohio State University Wexner Medical Center, Ohio",,NDA,NDA
"Clark County School District, Nevada",,NDA,NDA
"West Aurora School District No. 129, Illinois",,NDA,NDA
"Morongo Unified School District, California",,NDA,NDA
"South Conway County School District, Arkansas",,NDA,NDA
"Apollo-Ridge School District, Pennsylvania",,NDA,NDA
"Cambridge-Isanti Public Schools - ISD No. 911, Minnesota",,NDA,NDA
"Southwest Secondary Learning Center, New Mexico",,NDA,NDA
"Lubbock Independent School District, Texas",,NDA,NDA
"Pueblo City School District, Colorado",,NDA,NDA
"Department of Energy - GSA, District of Columbia",,NDA,NDA
"Pewaukee School District, Wisconsin",,NDA,NDA
"Central Union High School District, Imperial County, California",,NDA,NDA
"Lyons Township High School District No. 204, Illinois",,NDA,NDA
"North Kansas City School District, Missouri",,NDA,NDA
"San Dieguito Union High School District, California",,NDA,NDA
"Town of Arlington, Massachusetts",,NDA,NDA
"Anoka-Hennepin School District, Minnesota",,NDA,NDA
"Chilton School District, Wisconsin",,NDA,NDA
"South Bend Community School Corporation, Indiana",,NDA,NDA
"Henry County Schools, Georgia",,NDA,NDA
"Shenandoah Valley School District, Pennsylvania",,NDA,NDA
"Caroline County Public Schools, Maryland",,NDA,NDA
"Trumansburg Central School District, New York",,NDA,NDA
"Aledo Independent School District, Texas",,NDA,NDA
"Howell Township Public Schools, New Jersey",,NDA,NDA
"Austin Community College District, Texas",,NDA,NDA
"Canandaigua City School District, New York",,NDA,NDA
"Harrisonburg City Public Schools, Virginia",,NDA,NDA
"Linden City School District, New Jersey",,NDA,NDA
"Granville County Schools, North Carolina",,NDA,NDA
"Racine School District, Wisconsin",,NDA,NDA
"Ector County ISD, Texas",,NDA,NDA
"Halifax Medical Center, Florida",,NDA,NDA
"Hudson School District, New Hampshire",,NDA,NDA
"Oak Grove School District, California",,NDA,NDA
"Churchville-Chili Central School District, New York",,NDA,NDA
"Marshall Public School District No. 413, Minnesota",,NDA,NDA
"Irving ISD, Texas",,NDA,NDA
"Alief ISD, Texas",,NDA,NDA
"University of Washington, Washington",,NDA,NDA
"Cherokee County School District, Georgia",,NDA,NDA
"City of Lynn, Massachusetts",,NDA,NDA
"Hartland-Lakeside School District, Wisconsin",,NDA,NDA
"Woodward-Granger Community School District, Iowa",,NDA,NDA
"Oxford Community Schools, Michigan",,NDA,NDA
"Princeton City School District, Ohio",,NDA,NDA
"Belle Plaine Community School District, Iowa",,NDA,NDA
"Muhlenberg School District, Pennsylvania",,NDA,NDA
"Central Virginia Community College, Virginia",,NDA,NDA
"Pickerington Local School District, Ohio",,NDA,NDA
"Greenfield Union School District, Monterey County, California",,NDA,NDA
"Kenston Local School District, Ohio",,NDA,NDA
"Van Buren School District No. 42, Arkansas",,NDA,NDA
"Elkhorn Area School District, Wisconsin",,NDA,NDA
"City of Kingsport, Tennessee",,NDA,NDA
"Grain Valley R-V School District, Missouri",,NDA,NDA
"Fort Valley State University, Georgia",,NDA,NDA
"Liberty County School System, Georgia",,NDA,NDA
"Stevens Point Area School District, Wisconsin",,NDA,NDA
"Lindbergh Schools, Missouri",,NDA,NDA
"Paul Revere Middle School, Texas",,NDA,NDA
"St. Lawrence-Lewis BOCES, New York",,NDA,NDA
"Volusia County, Florida",,NDA,NDA
"Nauset Public Schools, Massachusetts",,NDA,NDA
"Town of Belchertown, Massachusetts",,NDA,NDA
"Ardsley Union Free School District, New York",,NDA,NDA
"Lewis Central Community Schools, Iowa",,NDA,NDA
"New Ulm Public School District No. 88, Minnesota",,NDA,NDA
"Granite Bay High School, California",,NDA,NDA
"Etiwanda School District, California",,NDA,NDA
"Middletown Public Schools, Rhode Island",,NDA,NDA
"Department of Justice - GSA, District of Columbia",,NDA,NDA
"Mountain View School District, San Bernardino County, California",,NDA,NDA
"Florida Atlantic University, Florida",,NDA,NDA
"Eastern Suffolk BOCES, New York",,NDA,NDA
"Buffalo Public Schools, New York",,NDA,NDA
"Roxana Community Unit School District No. 1, Illinois",,NDA,NDA
"Bennington Public Schools, Nebraska",,NDA,NDA
"Old Dominion University, Virginia",,NDA,NDA
"Louisville City School District, Ohio",,NDA,NDA
"Berwick Area School District, Pennsylvania",,NDA,NDA
"Frisco ISD, Texas",,NDA,NDA
"Rutland City Public Schools, Vermont",,NDA,NDA
"Clemson University, South Carolina",,NDA,NDA
"Premont Independent School District, Texas",,NDA,NDA
"West Irondequoit Central School District, New York",,NDA,NDA
"Schuylkill Technology Center, Pennsylvania",,NDA,NDA
"Huntington Public Schools, New York",,NDA,NDA
"Hutchinson Public Schools USD 308, Kansas",,NDA,NDA
"Avon Central School District, New York",,NDA,NDA
"Talawanda City School District, Ohio",,NDA,NDA
